201;0;3515;838
201;2;3597;472
201;3;2335;708
201;6;3731;1705
202;0;3519;853
202;2;3600;495
202;3;2336;731
202;5;1706;166
202;6;3715;1738
203;0;3521;873
203;1;2549;939
203;2;3605;515
203;3;2336;755
203;6;3696;1773
204;0;3522;899
204;1;2551;950
204;2;3606;543
204;3;2337;783
204;6;3679;1812
205;0;3522;915
205;1;2551;963
205;3;2335;811
205;6;3660;1854
206;0;3522;940
206;3;2336;846
206;6;3641;1903
207;0;3528;951
207;3;2336;830
207;6;3637;1883
208;0;3532;942
208;3;2332;810
208;6;3632;1852
209;0;3539;929
209;1;2560;979
209;3;2333;796
209;5;1706;166
209;6;3629;1827
210;0;3546;918
210;1;2558;972
210;2;3643;559
210;3;2331;781
210;5;1706;166
210;6;3625;1806
211;0;3551;908
211;1;2562;962
211;2;3650;544
211;3;2330;769
211;5;1706;166
211;6;3620;1785
212;0;3554;897
212;1;2563;958
212;2;3655;537
212;3;2329;758
212;5;1706;166
212;6;3615;1769
213;0;3559;891
213;1;2565;952
213;2;3662;529
213;3;2328;750
213;5;1706;166
213;6;3609;1755
214;0;3566;886
214;1;2568;948
214;2;3667;523
214;3;2328;744
214;6;3603;1744
215;0;3569;884
215;1;2568;947
215;2;3673;520
215;3;2326;742
215;6;3597;1738
216;0;3572;882
216;1;2570;947
216;2;3680;520
216;3;2324;741
216;6;3588;1735
217;0;3575;883
217;1;2571;945
217;2;3683;526
217;3;2318;760
217;6;3567;1752
218;0;3580;906
218;1;2570;953
218;2;3688;556
218;3;2308;793
218;6;3533;1791
219;1;2567;969
219;3;2298;826
219;6;3500;1833
220;0;3575;956
220;1;2566;988
220;3;2291;865
220;5;16;1943
220;6;3455;1887
221;0;3574;988
221;1;2565;1007
221;3;2282;868
221;5;53;1954
221;6;3446;1885
222;0;3578;975
222;1;2563;1008
222;3;2273;846
222;5;42;1922
222;6;3437;1847
223;0;3582;960
223;1;2563;996
223;3;2266;826
223;5;35;1897
223;6;3426;1815
224;0;3583;945
224;1;2563;987
224;2;3711;593
224;3;2257;809
224;5;30;1871
224;6;3415;1782
225;0;3583;933
225;1;2563;978
225;2;3731;577
225;3;2251;794
225;5;26;1846
225;6;3403;1755
226;0;3602;924
226;1;2561;970
226;2;3738;566
226;3;2242;780
226;5;26;1827
226;6;3391;1732
227;0;3601;913
227;1;2559;968
227;2;3745;557
227;3;2235;769
227;5;25;1808
227;6;3380;1712
228;0;3604;902
228;1;2563;959
228;2;3749;551
228;3;2226;760
228;5;26;1790
228;6;3367;1694
229;0;3610;901
229;1;2564;955
229;2;3754;544
229;3;2218;756
229;5;30;1775
229;6;3353;1682
230;0;3610;897
230;1;2558;954
230;2;3757;539
230;3;2210;753
230;5;34;1763
230;6;3340;1673
231;0;3613;897
231;1;2560;953
231;2;3764;538
231;3;2204;752
231;5;40;1750
231;6;3325;1664
232;0;3615;897
232;1;2558;954
232;2;3770;542
232;3;2197;752
232;5;48;1741
232;6;3312;1660
233;0;3616;897
233;1;2559;954
233;2;3777;545
233;3;2189;753
233;5;56;1732
233;6;3295;1657
234;0;3621;900
234;1;2557;954
234;2;3783;547
234;3;2182;754
234;5;65;1720
234;6;3277;1652
235;0;3624;900
235;1;2557;952
235;2;3792;547
235;3;2174;753
235;5;73;1707
235;6;3258;1646
236;0;3628;899
236;1;2557;952
236;2;3799;548
236;3;2167;752
236;5;80;1695
236;6;3239;1639
237;0;3632;898
237;1;2559;949
237;2;3807;548
237;3;2162;749
237;5;90;1683
237;6;3223;1631
238;0;3636;895
238;1;2559;948
238;2;3812;545
238;3;2156;747
238;5;95;1669
238;6;3209;1621
239;0;3641;896
239;1;2559;948
239;2;3819;546
239;3;2149;744
239;5;99;1655
239;6;3195;1613
240;0;3644;890
240;1;2559;947
240;2;3825;539
240;3;2144;740
240;5;105;1643
240;6;3180;1604
241;0;3650;889
241;1;2559;945
241;2;3833;538
241;3;2139;738
241;5;111;1630
241;6;3165;1595
242;0;3653;888
242;1;2560;944
242;2;3839;539
242;3;2133;737
242;5;119;1618
242;6;3149;1590
243;0;3658;888
243;1;2560;944
243;2;3838;542
243;3;2129;739
243;5;124;1608
243;6;3133;1590
244;1;2561;944
244;2;3838;545
244;3;2126;742
244;5;133;1598
244;6;3118;1591
245;0;3671;895
245;1;2562;946
245;3;2121;749
